Service,Entity Set,Data Source ID,Report Name,Description,URL Path
ana_businessanalytics_analytics.svc,RPCRMSORHB_Q0007QueryResults,CRMSORHB,Service Order Header,"Contains values of service orders in total. It allows you to analyze status, workload and responsibility for the organizational units and to calculate due date compliance and usage of service categories and warranties.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSORHB_Q0007QueryResults
ana_businessanalytics_analytics.svc,RPCRMSORHHB_Q0001QueryResults,CRMSORHHB,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSORHHB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSORHHB_Q0002QueryResults,CRMSORHHB,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSORHHB_Q0002QueryResults
ana_businessanalytics_analytics.svc,RPCRMSORIB01_Q0001QueryResults,CRMSORIB01,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSORIB01_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSRQHB_Q0001QueryResults,CRMSRQHB,Service Request,"Contains all service requests. It allows you to analyze the service requests, their usage, and all relevant informations.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSRQHB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSRQHB_Q0002QueryResults,CRMSRQHB,Service Request,"Contains all service requests. It allows you to analyze the service requests, their usage, and all relevant informations.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSRQHB_Q0002QueryResults
ana_businessanalytics_analytics.svc,RPCRMSRQHB_Q0003QueryResults,CRMSRQHB,Service Request,"Contains all service requests. It allows you to analyze the service requests, their usage, and all relevant informations.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSRQHB_Q0003QueryResults
ana_businessanalytics_analytics.svc,RPCRMSRQHB_Q0005QueryResults,CRMSRQHB,Service Request,"Contains all service requests. It allows you to analyze the service requests, their usage, and all relevant informations.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSRQHB_Q0005QueryResults
ana_businessanalytics_analytics.svc,RPCRMSRQHB_Q0006QueryResults,CRMSRQHB,Service Request,"Contains all service requests. It allows you to analyze the service requests, their usage, and all relevant informations.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSRQHB_Q0006QueryResults
ana_businessanalytics_analytics.svc,RPCRMSRQHB_Q0007QueryResults,CRMSRQHB,Service Request,"Contains all service requests. It allows you to analyze the service requests, their usage, and all relevant informations.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSRQHB_Q0007QueryResults
